scenario_label,representative_path_zscore,step_index,time_years,price_per_share_usd,titan_stake_pct,call_live,put_live,call_strike_pv_per_share_usd,put_strike_pv_per_share_usd,call_intrinsic_per_share_usd,put_intrinsic_per_share_usd,wait_value_usd_m,best_call_target_pct,best_call_value_usd_m,put_value_usd_m,optimal_action,optimal_target_pct,state_value_usd_m
low,-1.0,1512,6.0,421.583327,20.0,0,1,711.835965,709.7885,0.0,288.205173,0.0,,,-319.566507,put,0.0,-319.566507
low,-1.0,1512,6.0,421.583327,15.0,0,1,711.835965,709.7885,0.0,288.205173,0.0,,,-239.67488,put,0.0,-239.67488
low,-1.0,1512,6.0,421.583327,10.0,0,1,711.835965,709.7885,0.0,288.205173,0.0,,,-159.783254,put,0.0,-159.783254
low,-1.0,1512,6.0,421.583327,7.0,0,1,711.835965,709.7885,0.0,288.205173,0.0,,,-111.848278,put,0.0,-111.848278
base,0.0,0,0.0,577.192248,25.0,0,0,577.192248,577.192248,0.0,0.0,144.076408,,,,wait,25.0,144.076408
base,0.0,0,0.0,577.192248,20.0,0,0,577.192248,577.192248,0.0,0.0,115.261126,,,,wait,20.0,115.261126
base,0.0,0,0.0,577.192248,15.0,0,0,577.192248,577.192248,0.0,0.0,86.445845,,,,wait,15.0,86.445845
base,0.0,0,0.0,577.192248,10.0,0,0,577.192248,577.192248,0.0,0.0,57.630563,,,,wait,10.0,57.630563
base,0.0,0,0.0,577.192248,7.0,0,0,577.192248,577.192248,0.0,0.0,40.341394,,,,wait,7.0,40.341394
base,0.0,252,1.0,594.348232,25.0,0,0,593.065035,593.065035,0.0,0.0,122.18861,,,,wait,25.0,122.18861
base,0.0,252,1.0,594.348232,20.0,0,0,593.065035,593.065035,0.0,0.0,97.750888,,,,wait,20.0,97.750888
base,0.0,252,1.0,594.348232,15.0,0,0,593.065035,593.065035,0.0,0.0,73.313166,,,,wait,15.0,73.313166
base,0.0,252,1.0,594.348232,10.0,0,0,593.065035,593.065035,0.0,0.0,48.875444,,,,wait,10.0,48.875444
base,0.0,252,1.0,594.348232,7.0,0,0,593.065035,593.065035,0.0,0.0,34.212811,,,,wait,7.0,34.212811
base,0.0,504,2.0,612.014146,25.0,0,0,610.856986,610.856986,0.0,0.0,93.941945,,,,wait,25.0,93.941945
base,0.0,504,2.0,612.014146,20.0,0,0,610.856986,610.856986,0.0,0.0,75.153556,,,,wait,20.0,75.153556
base,0.0,504,2.0,612.014146,15.0,0,0,610.856986,610.856986,0.0,0.0,56.365167,,,,wait,15.0,56.365167
base,0.0,504,2.0,612.014146,10.0,0,0,610.856986,610.856986,0.0,0.0,37.576778,,,,wait,10.0,37.576778
base,0.0,504,2.0,612.014146,7.0,0,0,610.856986,610.856986,0.0,0.0,26.303744,,,,wait,7.0,26.303744
base,0.0,756,3.0,630.205147,25.0,1,0,629.182696,629.182696,1.022452,0.0,52.053712,20.0,41.926398,,wait,25.0,52.053712
base,0.0,756,3.0,630.205147,20.0,1,0,629.182696,629.182696,1.022452,0.0,41.64297,15.0,31.515655,,wait,20.0,41.64297
base,0.0,756,3.0,630.205147,15.0,1,0,629.182696,629.182696,1.022452,0.0,31.232227,10.0,21.104913,,wait,15.0,31.232227
base,0.0,756,3.0,630.205147,10.0,1,0,629.182696,629.182696,1.022452,0.0,20.821485,0.0,0.566855,,wait,10.0,20.821485
base,0.0,756,3.0,630.205147,7.0,1,0,629.182696,629.182696,1.022452,0.0,14.575039,0.0,0.396799,,wait,7.0,14.575039
base,0.0,882,3.5,639.502415,25.0,1,1,642.259637,641.951377,0.0,2.448962,-1.746131,0.0,-1.697155,-3.39431,call,0.0,-1.697155
base,0.0,882,3.5,639.502415,20.0,1,1,642.259637,641.951377,0.0,2.448962,-1.396905,0.0,-1.357724,-2.715448,call,0.0,-1.357724
base,0.0,882,3.5,639.502415,15.0,1,1,642.259637,641.951377,0.0,2.448962,-1.047679,0.0,-1.018293,-2.036586,call,0.0,-1.018293
base,0.0,882,3.5,639.502415,10.0,1,1,642.259637,641.951377,0.0,2.448962,-0.698452,0.0,-0.678862,-1.357724,call,0.0,-0.678862
base,0.0,882,3.5,639.502415,7.0,1,1,642.259637,641.951377,0.0,2.448962,-0.488917,0.0,-0.475203,-0.950407,call,0.0,-0.475203
base,0.0,1008,4.0,648.936843,25.0,1,1,655.608369,654.979186,0.0,6.042344,-4.289687,0.0,-4.187405,-8.374809,call,0.0,-4.187405
base,0.0,1008,4.0,648.936843,20.0,1,1,655.608369,654.979186,0.0,6.042344,-3.431749,0.0,-3.349924,-6.699847,call,0.0,-3.349924
base,0.0,1008,4.0,648.936843,15.0,1,1,655.608369,654.979186,0.0,6.042344,-2.573812,0.0,-2.512443,-5.024886,call,0.0,-2.512443
base,0.0,1008,4.0,648.936843,10.0,1,1,655.608369,654.979186,0.0,6.042344,-1.715875,0.0,-1.674962,-3.349924,call,0.0,-1.674962
base,0.0,1008,4.0,648.936843,7.0,1,1,655.608369,654.979186,0.0,6.042344,-1.201112,0.0,-1.172473,-2.344947,call,0.0,-1.172473
base,0.0,1260,5.0,668.225303,25.0,1,1,683.14392,681.833333,0.0,13.60803,-80.832774,0.0,-9.430501,-18.861001,call,0.0,-9.430501
